fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	min_data_in_leaf	num_leaves	max_bin	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211118 191039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0899616989182732	0.704953230995178	0.705636177745006	60	6.81960950410616	157	468	50	68.3503154688878	15.4113730585899	0.0483501125588947	58	5828750
20211118 191212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.052345938463264	0.289653470153893	0.756251132302157	100	6.81425927959266	55	672	89	69.9977701518664	38.6098096742861	0.0444335651460755	59	6213750
20211118 191253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0553303530971764	0.654528374429117	0.72548311029606	93	6.77592684911113	3324	844	73	54.894859723045	5.45789209354624	0.0483417438678416	60	5580000
20211118 191332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0708954954493088	0.697591824973475	0.738461756392021	93	6.27832076689126	74	167	83	75.2216756830651	42.4268773508549	0.0415296293506733	61	5947500
20211118 191444	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0564504448265367	0.405159624229444	0.759169165639735	89	4.16644832434556	1109	730	88	82.8363158046479	14.8980132917827	0.0365084147188538	62	6147500
20211118 191635	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	343	TRUE	0.0579559583786184	0.337593031086773	0.78701119850623	65	6.71992109855295	737	547	86	86.0697973455672	53.3746130680041	0.0508188764195392	63	6060000
20211118 191723	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0927349444152437	0.632841180322616	0.721598219572082	89	6.26570839296444	651	444	91	71.3695242604612	35.9949846882048	0.0404082247495669	64	5915000
20211118 191906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	251	TRUE	0.0356410520038323	0.683512187838409	0.679175164069048	73	3.55209617533872	330	598	45	70.7521579322608	13.8892333478689	0.0472370766488414	65	6145000
20211118 192133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	466	TRUE	0.0314139781232843	0.434994731585274	0.795014321920999	77	0.82503873944502	1878	847	96	87.7006420767342	3.19943546865949	0.0447432067150377	66	6167500
20211118 192239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0465918121067292	0.422504257218973	0.561104946991449	81	5.54035664146044	192	487	98	86.6439329913582	4.87287913527474	0.0414208363669838	67	5763750
20211118 192333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0940452236745396	0.701915135509049	0.657824753210145	94	7.41152692119298	1186	789	81	59.8080246928639	11.3767783750413	0.0410107705053852	68	5775000
20211118 192435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.0878544519699879	0.688022628972864	0.679638665817163	80	5.96929502273543	302	834	70	78.0056981852684	33.0002436938086	0.0420150134317491	69	6225000
20211118 192519	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.0792730416801113	0.609072237750955	0.678506788894214	16	6.88596988761034	611	709	73	74.4116406238449	75.7506278598582	0.0431447867239085	70	6256250
20211118 192744	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	478	TRUE	0.0417583925549572	0.386126461770003	0.694780484175871	62	6.19780053628778	1118	337	73	73.5979796535565	19.0719058448668	0.040676022863264	71	5925000
