Feature	Gain	Cover	Frequency	pos
mrentabilidad_annual_avg3	0.00158514197120939	0.00235082076691672	0.00314072593597202	73
mcuenta_corriente_avg3	0.00158273069499536	0.00292509116919852	0.00356900674542275	74
mrentabilidad_annual_tend	0.00157385756933473	0.00344201450046287	0.00349762661051429	75
ccallcenter_transacciones_tend	0.00153560183787496	0.00237262955105219	0.00157036296798601	76
cliente_edad_avg3	0.00149268736361837	0.00360770675785804	0.00378314715014811	77
cpayroll_trx_lag1	0.00145272981373009	0.000495746102737046	0.00028552053963382	78
mrentabilidad_annual	0.00141717031980609	0.00206233117503797	0.00280167029515686	79
cliente_edad	0.00141480480255882	0.00335753103348783	0.00362254184660409	80
mdescubierto_preacordado_avg3	0.001394034128454	0.000832124233595172	0.000410435775723616	81
Visa_cconsumos_tend	0.00137441765373897	0.00257595212328143	0.00280167029515686	82
mv_Finiciomora_avg3	0.00133374552568603	0.00532873564190538	0.00148113779935044	83
mactivos_margen_tend	0.00131920095078506	0.00210509515643225	0.0033727113744245	84
mv_Finiciomora	0.00130741357231278	0.0036802005363341	0.00085656161890146	85
ccomisiones_mantenimiento_delta1	0.00129909889265514	0.00264885656471906	0.000963631821264142	86
mrentabilidad_annual_delta1	0.00128952612026147	0.00284634559746652	0.00347978157678718	87
ccomisiones_mantenimiento_avg3	0.00127125339338006	0.00226146893228178	0.00128484242835219	88
mrentabilidad_annual_lag1	0.00125643232092442	0.0021343057419323	0.00306934580106356	89
Visa_status_tend	0.0012563004205659	0.0026635508597468	0.000910096720082801	90
Visa_fultimo_cierre_tend	0.00117872503324121	0.00285785213074362	0.00224847424961633	91
thomebanking_avg3	0.00116512925319915	0.000497474910306304	0.00112423712480817	92
mcuenta_corriente_delta1	0.00113302268131365	0.00273830176634896	0.00249830472179592	93
mvr_mpagominimo_avg3	0.00113286528627803	0.00149876305943847	0.00192726364252828	94
mtransferencias_emitidas_avg3	0.00113178397040108	0.00241790115738831	0.0027302901602484	95
chomebanking_transacciones_delta1	0.00113166841125788	0.0035586450587916	0.00256968485670438	96
mvr_msaldopesos2	0.00111974399426593	0.0015465381157695	0.00248045968806881	97
mrentabilidad_tend	0.0011079910344271	0.00224184288630893	0.00310503586851779	98
