fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 081427	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0589699120449461	0.926589186676079	3597	508	0.0318554224933678	79	5992500
20211115 081922	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	697	TRUE	0.0334567148417048	0.853748968570563	6684	599	0.0298050931853749	80	5648750
20211115 082312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0779374062406458	0.341383242442389	2817	557	0.0251018888135707	81	5251250
20211115 082604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.076169906396009	0.517671355470899	412	906	0.0338806457282017	82	6340000
20211115 082832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.082014807680212	0.138259828108992	7400	354	0.0321064832249588	83	5705000
20211115 083014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.0494141431783699	0.187329562072479	4239	284	0.0315374122333526	84	5090000
20211115 083159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.045332897095643	0.858515521227312	2030	782	0.033713271907141	85	5515000
20211115 083604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	364	TRUE	0.0854215697244927	0.486229236009857	7475	132	0.0309348664775343	86	5630000
20211115 083816	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	196	TRUE	0.0717484384932928	0.333622198364511	4631	1024	0.0390357594168696	87	6020000
20211115 084037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	157	TRUE	0.079758728711661	0.518765215917537	5051	593	0.0311524524449131	88	5397500
20211115 084307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	199	TRUE	0.0388794734793156	0.321540998298954	1553	367	0.0393621383679379	89	6021250
20211115 084553	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0567442471245304	0.562467300868337	2272	890	0.0389939159616044	90	5776250
20211115 084805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0456288787491247	0.291893347817403	1581	603	0.032934983639209	91	5631250
20211115 085103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	378	TRUE	0.0479052742254548	0.876139235755522	5462	830	0.0314620940138753	92	5951250
20211115 110819	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	272	TRUE	0.0562308587797172	0.865958362022298	1627	315	0.0337467466713531	93	6510000
20211115 111455	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	539	TRUE	0.021576027243454	0.67403223798289	6695	733	0.0345668783945503	94	5837500
20211115 111727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	270	TRUE	0.0875337808310427	0.936169395356765	5433	319	0.0307256492012084	95	6111250
20211115 111915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0826313996718079	0.211236353384797	712	536	0.0333617868829136	96	5167500
20211115 112224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	258	TRUE	0.0801827503519505	0.429004823934217	6505	688	0.0327173976718301	97	5913750
20211115 112404	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0545240405045822	0.191001194075355	3287	866	0.0309599725506933	98	5026250
20211115 112521	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.0973339821725711	0.651666032952629	249	530	0.032675554216565	99	4970000
20211115 112750	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0665022739505209	0.96967455263976	1200	287	0.0310603968433297	100	6161250
20211115 112906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0629817241140455	0.957099772378663	7211	317	0.040935452285908	101	5636250
20211115 113103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	268	TRUE	0.0776025511045195	0.141475633657142	2124	825	0.0314118818675571	102	5758750
20211115 142628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	389	TRUE	0.0549734539842792	0.400730396701023	3254	690	0.039144552400559	103	6603750
20211115 143424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	280	TRUE	0.0378078753618523	0.74887366734657	1176	859	0.0334119990292318	104	5960000
20211115 143546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0942775870687328	0.18984167803973	1628	380	0.027512071836844	105	4941250
20211115 143848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	230	TRUE	0.0861703913859651	0.487265926728072	5324	372	0.0309599725506933	106	5626250
