fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 063739	binary	custom	TRUE	TRUE	FALSE	-100	-1	38.8	225	TRUE	0.159918707506174	0.645387637146314	0.851368102831072	466	21.0865374386916	165	65.9087716343113	45.9566290991568	106	1439	76.0788638467202	0.711122425398653	10	0.0415463667327793	5584375	5494375	0.0384541353886839	5906250	5706250	64
20211126 064422	binary	custom	TRUE	TRUE	FALSE	-100	-1	58.5	233	TRUE	0.119570657130993	0.582811634348019	0.952771555655095	561	15.0925779214616	219	52.1044654944225	46.9121972367497	101	1210	76.5630817615591	0.569683035934584	10	0.0410634932590194	6121500	5621500	0.0335082389763417	6195000	5795000	65
20211126 064946	binary	custom	TRUE	TRUE	FALSE	-100	-1	39.2	223	TRUE	0.167727713402731	0.304174612264156	0.904588632163192	409	32.8734402940691	255	56.3844649984705	18.6596372133207	151	784	72.598639115554	0.551993691507962	10	0.0414928071100399	5602375	5122375	0.0374833672265321	5851250	5401250	66
20211126 065338	binary	custom	TRUE	TRUE	FALSE	-100	-1	56.2	238	TRUE	0.10467320106267	0.742083897057241	0.830578890927858	373	16.8488420025935	255	43.6703896615998	28.4655660871717	119	613	74.9950113562365	0.339918289164729	10	0.0386800900471157	5967500	5692500	0.035901684617509	6087500	5837500	67
20211126 065816	binary	custom	TRUE	TRUE	FALSE	-100	-1	85.3	251	TRUE	0.0778640595911514	0.761570903313529	0.777808391680575	269	6.58009486273144	219	54.6837768582831	42.8100390552887	130	1326	74.0571136805775	0.803217730808681	10	0.0396843329734796	6187500	5662500	0.0360774271296227	6361250	5611250	68
20211126 070309	binary	custom	TRUE	TRUE	FALSE	-100	-1	79.7	265	TRUE	0.0608000707564413	0.727125226965807	0.877894000601358	392	37.5291440968776	237	47.412762818968	31.5376841606333	66	2765	80.7933603159418	0.850478763717818	10	0.0443055241729641	5862250	5402250	0.0394834843882068	5902500	5552500	69
20211126 070636	binary	custom	TRUE	TRUE	FALSE	-100	-1	32.6	220	TRUE	0.199799622788962	0.755733662624963	0.748807411002	260	17.5479352839655	238	50.5910748797841	43.6774585336455	123	451	74.6041567617222	0.258332349028159	10	0.040535428853573	5690375	5475375	0.0356004117395998	6132500	5782500	70
20211126 071259	binary	custom	TRUE	TRUE	FALSE	-100	-1	56.8	230	TRUE	0.133183767644087	0.475236128859412	0.957355455882232	709	15.0088675498109	113	52.6650617320824	102.736549995619	51	3580	83.5201489293185	0.850853358989842	10	0.0383813277765225	5862125	5537125	0.0380691756002444	5963750	5613750	71
20211126 071704	binary	custom	TRUE	TRUE	FALSE	-100	-1	41.8	222	TRUE	0.177422473152673	0.774310392589506	0.88470876292775	377	10.4719641297349	253	78.3065420070837	87.6739985303432	82	1655	78.7278131374924	0.632526430354996	10	0.0395194697597349	5697125	5442125	0.0379185391612898	5736250	5786250	72
20211126 072135	binary	custom	TRUE	TRUE	FALSE	-100	-1	68.1	237	TRUE	0.105973672508513	0.716846363021109	0.878079352090134	603	6.97577436861831	233	43.0590176984085	81.4610527251806	82	482	78.6592833192393	0.184393162938882	10	0.0374992677395329	6223875	5643875	0.0383871858602596	6266250	5816250	73
